genre,movie_count,total_worldwide,mean_worldwide,median_worldwide,mean_rating,median_rating
Sci-Fi,109,37064620699.0,340042391.73394495,240900000.0,6.548623853211009,6.6
Animation,113,37168035797.0,328920670.7699115,245700000.0,6.568141592920354,6.7
Adventure,363,114501684493.0,315431637.7217631,199900000.0,6.456198347107438,6.5
Fantasy,123,24638465199.0,200312725.19512194,78900000.0,6.227642276422764,6.3
Action,519,99627147293.0,191959821.37379575,71700000.0,6.311368015414258,6.4
Family,82,11964846300.0,145912759.75609756,76400000.0,6.057317073170732,6.2
Comedy,655,71129037392.0,108593950.2167939,34900000.0,6.1699236641221376,6.2
Thriller,283,30258700998.0,106544721.82394366,37450000.0,6.262323943661972,6.4
Western,11,1079074100.0,98097645.45454545,11100000.0,6.7727272727272725,6.6
Musical,12,1014968000.0,84580666.66666667,2800000.0,6.075,6.15
Mystery,129,10864293599.0,84219330.2248062,34600000.0,6.26124031007752,6.4
Horror,145,11264272800.0,77152553.42465754,39300000.0,5.713013698630137,5.7
Crime,268,16642281599.0,62098065.66791045,22438000.0,6.444776119402985,6.5
History,70,4270196798.0,61002811.4,14450000.0,6.847142857142857,6.9
Biography,188,11246147898.0,59819935.627659574,15700000.0,7.020744680851064,7.0
Music,59,3485972500.0,59084279.66101695,12300000.0,6.693220338983051,6.7
Drama,946,52008479192.0,54919196.612460405,12200000.0,6.5876451953537485,6.7
Sport,35,1510396500.0,43154185.71428572,21529900.0,7.034285714285714,7.2
Romance,298,12746145797.0,42629250.157190636,8744000.0,6.2615384615384615,6.3
War,21,425286800.0,20251752.38095238,1800000.0,6.514285714285715,6.9
Documentary,92,522456999.0,5678880.423913044,632500.0,7.326086956521739,7.4
News,1,13200.0,13200.0,13200.0,6.7,6.7
